epoch,accuracy,loss,val_accuracy,val_loss
0,0.335999995470047,2.0102527141571045,0.6365131735801697,1.5140703916549683
1,0.656000018119812,1.37261164188385,0.7680920958518982,1.0736055374145508
2,0.7306666374206543,1.0700984001159668,0.7763158082962036,0.8807792663574219
3,0.7666666507720947,0.8952168822288513,0.8108552694320679,0.7450199127197266
4,0.7853333353996277,0.8098633885383606,0.8059210777282715,0.6962990760803223
5,0.8013333082199097,0.733230471611023,0.8240131735801697,0.6285621523857117
6,0.8346666693687439,0.6661554574966431,0.8174341917037964,0.6203948855400085
7,0.8320000171661377,0.6228421926498413,0.8141447305679321,0.6215264201164246
8,0.8399999737739563,0.5911668539047241,0.8240131735801697,0.5677158236503601
9,0.8533333539962769,0.5573292374610901,0.84375,0.5233166813850403
9,0.8586666584014893,0.4905725121498108,0.8327999711036682,0.5042161345481873
10,0.8706666827201843,0.40736180543899536,0.8371999859809875,0.4948904812335968
11,0.9120000004768372,0.3315100371837616,0.840399980545044,0.4921821355819702
12,0.9120000004768372,0.2893851101398468,0.8424000144004822,0.49512192606925964
13,0.9253333210945129,0.2297401875257492,0.8331999778747559,0.5083819031715393
14,0.9440000057220459,0.2160332053899765,0.8327999711036682,0.5027531385421753
15,0.9506666660308838,0.17534230649471283,0.8432000279426575,0.5059908032417297
16,0.9546666741371155,0.15836681425571442,0.8379999995231628,0.528660774230957
17,0.9599999785423279,0.14582791924476624,0.843999981880188,0.5090317130088806
18,0.9733333587646484,0.11968879401683807,0.8543999791145325,0.4966945946216583
19,0.972000002861023,0.11339827626943588,0.8392000198364258,0.525277316570282
19,0.981333315372467,0.087368905544281,0.84375,0.5109922289848328
20,0.9826666712760925,0.08522507548332214,0.8289473652839661,0.5670666694641113
21,0.9826666712760925,0.09308234602212906,0.8453947305679321,0.526480495929718
22,0.9760000109672546,0.0901150107383728,0.8486841917037964,0.5137684345245361
23,0.9879999756813049,0.0788242295384407,0.8569079041481018,0.49700304865837097
24,0.9800000190734863,0.08297762274742126,0.8519737124443054,0.5117627382278442
25,0.9866666793823242,0.07741177082061768,0.8453947305679321,0.49387675523757935
26,0.9773333072662354,0.08592521399259567,0.8536184430122375,0.5021058917045593
27,0.9893333315849304,0.07829984277486801,0.8470394611358643,0.5185192227363586
28,0.9879999756813049,0.07069062441587448,0.8388158082962036,0.5548863410949707
29,0.9866666793823242,0.072184257209301,0.8338815569877625,0.5348189473152161
